YEAR,Winner Name,Winner Country,Time,Gender,Marathon City
1977,Dan Cloeter,USA,2:17:52,M,Chicago
1978,Mark Stanforth,USA,2:19:20,M,Chicago
1979,Dan Cloeter,USA,2:23:20,M,Chicago
1980,Frank Richardson,USA,2:14:04,M,Chicago
1981,Phil Coppess,USA,2:16:13,M,Chicago
1982,Greg Meyer,USA,2:10:59,M,Chicago
1983,Joseph Nzau,Kenya,2:09:44,M,Chicago
1984,Steve Jones,UK,2:08:05,M,Chicago
1985,Steve Jones,UK,2:07:13,M,Chicago
1986,Toshihiko Seko,Japan,2:08:27,M,Chicago
1988,Alejandro Cruz,Mexico,2:08:57,M,Chicago
1989,Paul Davies-Hale,UK,2:11:25,M,Chicago
1990,Martín Pitayo,Mexico,2:09:41,M,Chicago
1991,Joseildo Rocha,Brazil,2:14:33,M,Chicago
1992,José Cesar de Souza,Brazil,2:16:14,M,Chicago
1993,Luíz Antônio,Brazil,2:13:14,M,Chicago
1994,Luíz Antônio,Brazil,2:11:16,M,Chicago
1995,Eamonn Martin,UK,2:11:18,M,Chicago
1996,Paul Evans,UK,2:08:52,M,Chicago
1997,Khalid Khannouchi,Morocco,2:07:10,M,Chicago
1998,Ondoro Osoro,Kenya,2:06:54,M,Chicago
1999,Khalid Khannouchi,Morocco,2:05:42,M,Chicago
2000,Khalid Khannouchi,USA,2:07:01,M,Chicago
2001,Ben Kimondiu,Kenya,2:08:52,M,Chicago
2002,Khalid Khannouchi,USA,2:05:56,M,Chicago
2003,Evans Rutto,Kenya,2:05:50,M,Chicago
2004,Evans Rutto,Kenya,2:06:16,M,Chicago
2005,Felix Limo,Kenya,2:07:02,M,Chicago
2006,Robert Cheruiyot,Kenya,2:07:35,M,Chicago
2007,Patrick Ivuti,Kenya,2:11:11,M,Chicago
2008,Evans Cheruiyot,Kenya,2:06:25,M,Chicago
2009,Samuel Wanjiru,Kenya,2:05:41,M,Chicago
2010,Samuel Wanjiru,Kenya,2:06:23,M,Chicago
2011,Moses Mosop,Kenya,2:05:37,M,Chicago
2012,Tsegaye Kebede,Ethiopia,2:04:38,M,Chicago
2013,Dennis Kimetto,Kenya,2:03:45,M,Chicago
2014,Eliud Kipchoge,Kenya,2:04:11,M,Chicago
2015,Dickson Chumba,Kenya,2:09:25,M,Chicago
2016,Abel Kirui,Kenya,2:11:23,M,Chicago
2017,Galen Rupp,USA,2:09:20,M,Chicago
2018,Mo Farah,UK,2:05:11,M,Chicago
2019,Lawrence Cherono,Kenya,2:05:45,M,Chicago
1977,Dorothy Doolittle,USA,2:50:47,F,Chicago
1978,Lynae Larson,USA,2:59:25,F,Chicago
1979,Laura Michalek,USA,3:15:45,F,Chicago
1980,Sue Peterson,USA,2:45:03,F,Chicago
1981,Tina Gandy,USA,2:49:39,F,Chicago
1982,Nancy Conz,USA,2:33:23,F,Chicago
1983,Rosa Mota,Portugal,2:31:12,F,Chicago
1984,Rosa Mota,Portugal,2:26:01,F,Chicago
1985,Joan Benoit,USA,2:21:21,F,Chicago
1986,Ingrid Kristiansen,Norway,2:27:08,F,Chicago
1988,Lisa Weidenbach,USA,2:29:17,F,Chicago
1989,Lisa Weidenbach,USA,2:28:15,F,Chicago
1990,Aurora Cunha,Portugal,2:30:11,F,Chicago
1991,Midde Hamrin,Sweden,2:36:21,F,Chicago
1992,Linda Somers,USA,2:37:41,F,Chicago
1993,Ritva Lemettinen,Finland,2:33:18,F,Chicago
1994,Kristy Johnston,USA,2:31:34,F,Chicago
1995,Ritva Lemettinen,Finland,2:28:27,F,Chicago
1996,Marian Sutton,UK,2:30:41,F,Chicago
1997,Marian Sutton,UK,2:29:03,F,Chicago
1998,Joyce Chepchumba,Kenya,2:23:57,F,Chicago
1999,Joyce Chepchumba,Kenya,2:25:59,F,Chicago
2000,Catherine Ndereba,Kenya,2:21:33,F,Chicago
2001,Catherine Ndereba,Kenya,2:18:47,F,Chicago
2002,Paula Radcliffe,UK,2:17:18,F,Chicago
2003,Svetlana Zakharova,Russia,2:23:07,F,Chicago
2004,Constantina Di??,Romania,2:23:45,F,Chicago
2005,Deena Kastor,USA,2:21:25,F,Chicago
2006,Berhane Adere,Ethiopia,2:20:42,F,Chicago
2007,Berhane Adere,Ethiopia,2:33:49,F,Chicago
2008,Lidiya Grigoryeva,Russia,2:27:17,F,Chicago
2009,Irina Mikitenko,Germany,2:26:31,F,Chicago
2010,Atsede Baysa,Ethiopia,2:23:40,F,Chicago
2011,Ejegayehu Dibaba,Ethiopia,2:22:09,F,Chicago
2012,Atsede Baysa,Ethiopia,2:22:03,F,Chicago
2013,Rita Jeptoo,Kenya,2:19:57,F,Chicago
2014,Mare Dibaba,Ethiopia,2:25:37,F,Chicago
2015,Florence Kiplagat,Kenya,2:23:33,F,Chicago
2016,Florence Kiplagat,Kenya,2:21:32,F,Chicago
2017,Tirunesh Dibaba,Ethiopia,2:18:31,F,Chicago
2018,Brigid Kosgei,Kenya,2:18:35,F,Chicago
2019,Brigid Kosgei,Kenya,2:14:04,F,Chicago
