Rank ,Country ,GDP per capita 
1, Luxembourg,"113,196"
2,  Switzerland,"83,716"
3, Norway,"77,975"
4, Ireland,"77,771"
5, Qatar,"69,687"
6, Iceland,"67,037"
7,USA,"65,111"
8, Singapore,"63,987"
9, Denmark,"59,795"
10, Australia,"53,825"
11, Netherlands,"52,367"
12, Sweden,"51,241"
13, Austria,"50,022"
14, Finland,"48,868"
15, San Marino,"47,279"
16, Germany,"46,563"
17, Canada,"46,212"
18, Belgium,"45,175"
19, Israel,"42,823"
20, France,"41,760"
21,UK,"41,030"
22, Japan,"40,846"
23, New Zealand,"40,634"
24,UAE,"37,749"
25," Bahamas, The","33,261"
26, Italy,"32,946"
27,South Korea,"31,430"
28, Malta,"30,650"
29, Spain,"29,961"
30, Kuwait,"29,266"
31, Brunei,"27,871"
32, Cyprus,"27,719"
33, Slovenia,"26,170"
34, Bahrain,"25,273"
35, Estonia,"23,523"
36, Czech Republic,"23,213"
37, Portugal,"23,030"
38, Saudi Arabia,"22,865"
39, Greece,"19,974"
40, Slovakia,"19,547"
41, Lithuania,"19,266"
42, Saint Kitts and Nevis,"18,245"
43, Latvia,"18,171"
44, Antigua and Barbuda,"18,109"
45, Barbados,"18,069"
46, Oman,"17,791"
47, Hungary,"17,463"
48, Seychelles,"17,052"
49, Uruguay,"17,029"
50, Palau,"16,736"
51, Trinidad and Tobago,"16,365"
52, Panama,"16,245"
53, Chile,"15,399"
54, Maldives,"15,562"
55, Croatia,"14,949"
56, Poland,"14,901"
57, Romania,"12,482"
58, Costa Rica,"12,014"
59, Grenada,"11,381"
60, Mauritius,"11,360"
61, Russia,"11,162"
62, Malaysia,"11,136"
63, Saint Lucia,"11,075"
64, Mexico,"10,118"
65, China,"10,098"
66, Argentina,"9,887"
67, Lebanon,"9,654"
68, Bulgaria,"9,518"
69, Kazakhstan,"9,139"
70, Turkey,"8,957"
71, Equatorial Guinea,"8,927"
72, Brazil,"8,796"
73, Montenegro,"8,703"
74, Dominican Republic,"8,629"
75, Dominica,"8,380"
76, Nauru,"8,270"
77, Gabon,"8,112"
78, Botswana,"7,859"
79, Turkmenistan,"7,816"
80, Thailand,"7,791"
81, Saint Vincent and the Grenadines,"7,750"
82, Serbia,"7,397"
83, Peru,"7,046"
84, Belarus,"6,603"
85, Colombia,"6,508"
86, Fiji,"6,379"
87, Suriname,"6,310"
88, Ecuador,"6,249"
89, South Africa,"6,100"
90, North Macedonia,"6,096"
91, Namibia,"5,842"
92, Bosnia and Herzegovina,"5,741"
93, Iraq,"5,738"
94, Paraguay,"5,692"
95, Iran,"5,506"
96, Jamaica,"5,460"
97, Albania,"5,372"
98, Guyana,"5,252"
99, Libya,"5,019"
100, Belize,"4,925"
101, Tonga,"4,862"
102, Azerbaijan,"4,689"
103, Guatemala,"4,616"
104, Armenia,"4,527"
105, Samoa,"4,500"
106, Jordan,"4,386"
107, Georgia,"4,289"
108, Eswatini,"4,176"
109, Indonesia,"4,163"
110, Mongolia,"4,132"
111, El Salvador,"4,008"
112, Algeria,"3,980"
113, Sri Lanka,"3,946"
114, Marshall Islands,"3,924"
115, Tuvalu,"3,834"
116," Micronesia, Federated States of","3,717"
117, Bolivia,"3,670"
118, Cape Verde,"3,598"
119, Ukraine,"3,592"
120, Bhutan,"3,423"
121, Morocco,"3,345"
122, Moldova,"3,300"
123, Philippines,"3,294"
124, Tunisia,"3,287"
125, Vanuatu,"3,260"
126, Egypt,"3,046"
127, Angola,"3,037"
128, Djibouti,"2,936"
129, Papua New Guinea,"2,742"
130, Vietnam,"2,740"
131, Laos,"2,670"
132, Honduras,"2,548"
133, Venezuela,"2,547"
134," Congo, Republic of the","2,534"
135, East Timor,"2,262"
136, Solomon Islands,"2,246"
137, Ghana,"2,223"
138, Nigeria,"2,222"
139, India,"2,171"
140, Kenya,"1,997"
141, São Tomé and Príncipe,"1,933"
142, Nicaragua,"1,919"
143, Bangladesh,"1,905"
144, Uzbekistan,"1,831"
145, Côte d'Ivoire,"1,691"
146, Cambodia,"1,620"
147, Kiribati,"1,574"
148, Cameroon,"1,514"
149, Senegal,"1,427"
150, Mauritania,"1,392"
151, Pakistan,"1,388"
152, Comoros,"1,349"
153, Lesotho,"1,338"
154, Zambia,"1,307"
155, Kyrgyzstan,"1,292"
156, Myanmar,"1,244"
157, Benin,"1,216"
158, Tanzania,"1,104"
159,   Nepal,"1,047"
160, Guinea,981
161, Ethiopia,953
162, Yemen,943
163, Mali,924
164, Tajikistan,877
165, Chad,861
166, Zimbabwe,859
167, Rwanda,824
168, Guinea-Bissau,786
169, Haiti,784
170, Uganda,770
171," Gambia, The",755
172, Burkina Faso,717
173, Sudan,714
174, Liberia,703
175, Togo,671
176, Sierra Leone,546
177, Afghanistan,513
178," Congo, Democratic Republic of the",500
179, Mozambique,484
180, Madagascar,463
181, Central African Republic,447
182, Niger,405
183, Malawi,370
184, Eritrea,342
185, Burundi,309
186, South Sudan,275
