Year,Winner Name,Winner Country,Time,Gender,Marathon City
1981,Inge Simonsen, Norway,2:11:48,M,London
1981,Dick Beardsley, USA,2:11:48,M,London
1982,Hugh Jones, UK,2:09:24,M,London
1983,Mike Gratton, UK,2:09:43,M,London
1984,Charlie Spedding, UK,2:09:57,M,London
1985,Steve Jones, UK,2:08:16,M,London
1986,Toshihiko Seko, Japan,2:10:02,M,London
1987,Hiromi Taniguchi, Japan,2:09:50,M,London
1988,Henrik Jørgensen, Denmark,2:10:20,M,London
1989,Douglas Wakiihuri, Kenya,2:09:03,M,London
1990,Allister Hutton, UK,2:10:10,M,London
1991,Yakov Tolstikov, Soviet Union,2:09:17,M,London
1992,António Pinto, Portugal,2:10:02,M,London
1993,Eamonn Martin, UK,2:10:50,M,London
1994,Dionicio Cerón, Mexico,2:08:53,M,London
1995,Dionicio Cerón, Mexico,2:08:30,M,London
1996,Dionicio Cerón, Mexico,2:10:00,M,London
1997,António Pinto, Portugal,2:07:55,M,London
1998,Abel Antón, Spain,2:07:57,M,London
1999,Abdelkader El Mouaziz, Morocco,2:07:57,M,London
2000,António Pinto, Portugal,2:06:36,M,London
2001,Abdelkader El Mouaziz, Morocco,2:07:09,M,London
2002,Khalid Khannouchi, USA,2:05:38,M,London
2003,Gezahegne Abera, Ethiopia,2:07:56,M,London
2004,Evans Rutto, Kenya,2:06:18,M,London
2005,Martin Lel, Kenya,2:07:35,M,London
2006,Felix Limo, Kenya,2:06:39,M,London
2007,Martin Lel, Kenya,2:07:41,M,London
2008,Martin Lel, Kenya,2:05:15,M,London
2009,Samuel Wanjiru, Kenya,2:05:10,M,London
2010,Tsegaye Kebede, Ethiopia,2:05:19,M,London
2011,Emmanuel Mutai, Kenya,2:04:40,M,London
2012,Wilson Kipsang, Kenya,2:04:44,M,London
2013,Tsegaye Kebede, Ethiopia,2:06:04,M,London
2014,Wilson Kipsang, Kenya,2:04:29,M,London
2015,Eliud Kipchoge, Kenya,2:04:42,M,London
2016,Eliud Kipchoge, Kenya,2:03:05,M,London
2017,Daniel Wanjiru, Kenya,2:05:48,M,London
2018,Eliud Kipchoge, Kenya,2:04:17,M,London
1981,Joyce Smith, UK,2:29:57,F,London
1982,Joyce Smith, UK,2:29:43,F,London
1983,Grete Waitz, Norway,2:25:29,F,London
1984,Ingrid Kristiansen, Norway,2:24:26,F,London
1985,Ingrid Kristiansen, Norway,2:21:06,F,London
1986,Grete Waitz, Norway,2:24:54,F,London
1987,Ingrid Kristiansen, Norway,2:22:48,F,London
1988,Ingrid Kristiansen, Norway,2:25:41,F,London
1989,Véronique Marot, UK,2:25:56,F,London
1990,Wanda Panfil, Poland,2:26:31,F,London
1991,Rosa Mota, Portugal,2:26:14,F,London
1992,Katrin Dörre-Heinig, Germany,2:29:39,F,London
1993,Katrin Dörre-Heinig, Germany,2:27:09,F,London
1994,Katrin Dörre-Heinig, Germany,2:32:34,F,London
1995,Ma?gorzata Soba?ska, Poland,2:27:43,F,London
1996,Liz McColgan, UK,2:27:54,F,London
1997,Joyce Chepchumba, Kenya,2:26:51,F,London
1998,Catherina McKiernan, Ireland,2:26:26,F,London
1999,Joyce Chepchumba, Kenya,2:23:22,F,London
2000,Tegla Laroupe, Kenya,2:24:33,F,London
2001,Derartu Tulu, Ethiopia,2:23:57,F,London
2002,Paula Radcliffe, UK,2:18:56,F,London
2003,Paula Radcliffe, UK,2:15:25,F,London
2004,Margaret Okayo, Kenya,2:22:35,F,London
2005,Paula Radcliffe, UK,2:17:42,F,London
2006,Deena Kastor, USA,2:19:35,F,London
2007,Zhou Chunxiu, China,2:20:38,F,London
2008,Irina Mikitenko, Germany,2:24:14,F,London
2009,Irina Mikitenko, Germany,2:22:11,F,London
2010,Aselefech Mergia, Ethiopia,2:22:38,F,London
2011,Mary Keitany, Kenya,2:19:19,F,London
2012,Mary Keitany, Kenya,2:18:37,F,London
2013,Priscah Jeptoo, Kenya,2:20:15,F,London
2014,Edna Kiplagat, Kenya,2:20:21,F,London
2015,Tigist Tufa, Ethiopia,2:23:21,F,London
2016,Jemima Sumgong, Kenya,2:22:58,F,London
2017,Mary Keitany, Kenya,2:17:01,F,London
2018,Vivian Cheruiyot, Kenya,2:18:31,F,London
2019,Brigid Kosgei, Kenya,2:18:20,F,London
